Iter 0: train: 4.96029360281, valid: 4.92312744337, reg: 6799.18868206
Iter 10: train: 0.951568265511, valid: 2.66256249294, reg: 4962.01940981
Iter 20: train: 0.538121249378, valid: 2.40014155616, reg: 2535.38527371
Iter 30: train: 0.847092025358, valid: 2.41071916538, reg: 1037.2221038
Iter 40: train: 1.1450331624, valid: 2.4264864253, reg: 379.907378308
Iter 0: train: 4.82037592441, valid: 4.78538747459, reg: 6799.18868206
Iter 10: train: 1.19575038637, valid: 2.64038712636, reg: 4960.28825234
Iter 20: train: 0.75712773689, valid: 2.37770927206, reg: 2534.5295045
Iter 30: train: 1.10009393864, valid: 2.44199475029, reg: 1041.24068754
Iter 40: train: 1.38291794376, valid: 2.46817782513, reg: 386.267003866
Iter 0: train: 4.533239352, valid: 4.50513567748, reg: 6799.18868206
Iter 10: train: 1.77349523359, valid: 2.73776886854, reg: 4957.72258048
Iter 20: train: 1.31406793815, valid: 2.44808657746, reg: 2532.99632207
Iter 30: train: 1.59678684909, valid: 2.52406471344, reg: 1045.52107252
Iter 40: train: 1.79211555657, valid: 2.54208682916, reg: 389.495043082
Iter 0: train: 4.1978301916, valid: 4.19653051657, reg: 6799.18868206
Iter 10: train: 2.90640934921, valid: 3.24716282926, reg: 4953.56545835
Iter 20: train: 2.19421203903, valid: 2.68599983973, reg: 2517.71745556
Iter 30: train: 1.9379691278, valid: 2.488123154, reg: 1027.93675896
Iter 40: train: 1.86424566616, valid: 2.47244661817, reg: 370.338308557
