Iter 0: train: 4.62431246373, valid: 4.57512084999, reg: 5147.93972719
Iter 10: train: 1.57423209865, valid: 2.69767526646, reg: 3756.41122695
Iter 20: train: 1.10435976419, valid: 2.40568327657, reg: 1929.49842422
Iter 30: train: 1.38777289513, valid: 2.47334416679, reg: 808.000894359
Iter 40: train: 1.59137799478, valid: 2.49186694184, reg: 315.072735972
Iter 0: train: 4.64238789772, valid: 4.63452097754, reg: 5143.72783806
Iter 10: train: 1.57227921665, valid: 2.71549500725, reg: 3753.32488077
Iter 20: train: 1.10117702132, valid: 2.4127190849, reg: 1928.19171734
Iter 30: train: 1.38478417881, valid: 2.48046267257, reg: 807.629351581
Iter 40: train: 1.59033572775, valid: 2.49683240827, reg: 315.0090399
Iter 0: train: 4.64464462146, valid: 4.62394620323, reg: 5144.09995493
Iter 10: train: 1.57450808578, valid: 2.73516215679, reg: 3753.58941656
Iter 20: train: 1.10168014864, valid: 2.4262447943, reg: 1928.26803823
Iter 30: train: 1.38412729815, valid: 2.48582158204, reg: 807.59574138
Iter 40: train: 1.5884909001, valid: 2.499403582, reg: 314.9585861
Iter 0: train: 4.62944883967, valid: 4.62796187801, reg: 5145.79038739
Iter 10: train: 1.57435793551, valid: 2.72186603931, reg: 3754.890561
Iter 20: train: 1.10374184836, valid: 2.41073802191, reg: 1928.85310198
Iter 30: train: 1.38530272257, valid: 2.48399559019, reg: 807.881000163
Iter 40: train: 1.58880652178, valid: 2.49951996876, reg: 315.138329638
Iter 0: train: 4.61788902174, valid: 4.60428898545, reg: 5145.05282629
Iter 10: train: 1.57140612908, valid: 2.70115881127, reg: 3754.42422287
Iter 20: train: 1.10071828368, valid: 2.40605542342, reg: 1928.69713969
Iter 30: train: 1.38313131047, valid: 2.47662079366, reg: 807.820151524
Iter 40: train: 1.58974565468, valid: 2.49405614703, reg: 315.047367082
Iter 0: train: 4.62408505776, valid: 4.59808922986, reg: 5145.27588534
Iter 10: train: 1.56956507193, valid: 2.69939526335, reg: 3754.55776162
Iter 20: train: 1.10318963715, valid: 2.42032879056, reg: 1928.63457215
Iter 30: train: 1.38652496809, valid: 2.48442834786, reg: 807.581818773
Iter 40: train: 1.59153690132, valid: 2.49831704179, reg: 314.821372237
Iter 0: train: 4.63508014921, valid: 4.62208725462, reg: 5146.65091556
Iter 10: train: 1.57279658473, valid: 2.70522086087, reg: 3755.5425201
Iter 20: train: 1.10555585044, valid: 2.40661134502, reg: 1929.18430036
Iter 30: train: 1.38808447405, valid: 2.47993150936, reg: 807.892054807
Iter 40: train: 1.59319940449, valid: 2.49241120459, reg: 315.000719981
Iter 0: train: 4.61000250401, valid: 4.62286563408, reg: 5146.2489818
Iter 10: train: 1.57155104628, valid: 2.7183405374, reg: 3755.35002634
Iter 20: train: 1.10195527852, valid: 2.41596002531, reg: 1929.10812998
Iter 30: train: 1.38659413721, valid: 2.48387587834, reg: 807.890002349
Iter 40: train: 1.59280249594, valid: 2.50203963528, reg: 314.997496492
Iter 0: train: 4.65855311447, valid: 4.65199663308, reg: 5145.90252825
Iter 10: train: 1.57696070815, valid: 2.72521908543, reg: 3754.92102898
Iter 20: train: 1.10354453342, valid: 2.42796991813, reg: 1928.96325741
Iter 30: train: 1.38563070262, valid: 2.48781826417, reg: 807.891847235
Iter 40: train: 1.59059755142, valid: 2.49919565476, reg: 315.074019559
Iter 0: train: 4.62700844051, valid: 4.61773047512, reg: 5146.01966897
Iter 10: train: 1.57381674739, valid: 2.71254106887, reg: 3755.09469471
Iter 20: train: 1.10452025303, valid: 2.41977404644, reg: 1928.90091459
Iter 30: train: 1.38741698062, valid: 2.48413953398, reg: 807.680721473
Iter 40: train: 1.59240535409, valid: 2.50163020554, reg: 314.821840622
Iter 0: train: 4.28194391106, valid: 4.27620148331, reg: 5144.64468038
Iter 10: train: 2.62629750136, valid: 3.29043820637, reg: 3751.06722396
Iter 20: train: 2.24604920811, valid: 3.02076839364, reg: 1909.07222738
Iter 30: train: 2.26410391711, valid: 2.96170401237, reg: 777.74802083
Iter 40: train: 2.29494159473, valid: 2.95046337209, reg: 278.969512093
Hyper iter 0
Results {'tests_loss': 3.0053906081879926, 'valid_loss': 2.9605161936982758, 'train_loss': 2.2581225335206163}
Iter 0: train: 4.3064548369, valid: 4.30089280536, reg: 5144.64468038
Iter 10: train: 2.50509237425, valid: 3.20561684189, reg: 3751.35923372
Iter 20: train: 2.06703210749, valid: 2.89098234618, reg: 1912.50104537
Iter 30: train: 2.08050891703, valid: 2.81645231279, reg: 784.193288787
Iter 40: train: 2.10542881758, valid: 2.79116968262, reg: 287.012146696
Hyper iter 1
Results {'tests_loss': 2.8343353091905787, 'valid_loss': 2.782499500033595, 'train_loss': 2.0577441021535807}
Iter 0: train: 4.34014997982, valid: 4.33561900398, reg: 5144.64468038
Iter 10: train: 2.37891075187, valid: 3.12111069528, reg: 3751.64425672
Iter 20: train: 1.90442696444, valid: 2.77929465112, reg: 1916.06597575
Iter 30: train: 1.9299450814, valid: 2.70238192239, reg: 790.798918431
Iter 40: train: 1.95671965808, valid: 2.65997854202, reg: 295.169388735
Hyper iter 2
Results {'tests_loss': 2.6818528066519813, 'valid_loss': 2.6271766636012996, 'train_loss': 1.9014286259984485}
Iter 0: train: 4.38288636365, valid: 4.37879355691, reg: 5144.64468038
Iter 10: train: 2.24932942759, valid: 3.03686467176, reg: 3751.96786834
Iter 20: train: 1.80168225781, valid: 2.7240092342, reg: 1919.25395706
Iter 30: train: 1.90991683764, valid: 2.70435489929, reg: 796.018240328
Iter 40: train: 1.98057537067, valid: 2.67082856335, reg: 301.218400281
Hyper iter 3
Results {'tests_loss': 2.6659645253542887, 'valid_loss': 2.620449533213097, 'train_loss': 1.9345111417869489}
Iter 0: train: 4.46735444655, valid: 4.46281764746, reg: 5144.64468038
Iter 10: train: 2.01607518225, valid: 2.90533043436, reg: 3752.59694828
Iter 20: train: 1.5800101742, valid: 2.61225285642, reg: 1923.42084711
Iter 30: train: 1.81619738058, valid: 2.67952518426, reg: 801.941961983
Iter 40: train: 2.00152280125, valid: 2.71615588193, reg: 307.16487658
Hyper iter 4
Results {'tests_loss': 2.7420523295767016, 'valid_loss': 2.6976951649920036, 'train_loss': 2.0204703295106357}
Iter 0: train: 4.65907787394, valid: 4.65300402142, reg: 5144.64468038
Iter 10: train: 1.57913400984, valid: 2.72769497103, reg: 3753.90332337
Iter 20: train: 1.10450721885, valid: 2.41910997832, reg: 1928.43660795
Iter 30: train: 1.38710173185, valid: 2.48115483538, reg: 807.717258184
Iter 40: train: 1.59300719988, valid: 2.49578597452, reg: 314.975522976
Hyper iter 5
Results {'tests_loss': 2.510634488412455, 'valid_loss': 2.4501250781777753, 'train_loss': 1.5896819952017307}
Iter 0: train: 4.93751194598, valid: 4.93636629794, reg: 5144.64468038
Iter 10: train: 1.16524578347, valid: 2.65250015812, reg: 3755.57937033
Iter 20: train: 0.724162051269, valid: 2.34082021705, reg: 1930.10353729
Iter 30: train: 0.999378196387, valid: 2.34966613365, reg: 804.889302729
Iter 40: train: 1.15997797558, valid: 2.3136948092, reg: 310.862000608
Hyper iter 6
